code	offical_name	offical_summary_category	suggested_categorization	average_minutes	avg_minutes_per_participant	participation_rate
t060202	Extracurricular music & performance activities	Education	Education	0.17	129.58	0
t060203	Extracurricular student government activities	Education	Education	0.01	77.98	0
t060289	NA	Education	Education	0.03	81.24	0
t060301	Research/homework for class for degree, certification, or licensure	Education	Education	9.09	167.91	0.05
t060302	Research/homework for class for pers. interest	Education	Education	0.24	108.56	0
t060303	Waiting associated with research/homework	Education	Education	0	18.25	0
t060399	Research/homework n.e.c.*	Education	Education	0.18	138.73	0
t060401	Administrative activities: class for degree, certification, or licensure	Education	Education	0.14	79.39	0
t060402	Administrative activities: class for personal interest	Education	Education	0	36.28	0
t060403	Waiting associated w/admin. activities (education)	Education	Education	0	33.54	0
t060499	Administrative for education, n.e.c.*	Education	Education	0.05	72.05	0
t069999	Education, n.e.c.*	Education	Education	0.19	98.56	0
t070101	Grocery shopping	Consumer Purchases	Consumer Purchases	6.2	44.98	0.14
t070102	Purchasing gas	Consumer Purchases	Consumer Purchases	0.37	9.59	0.04
t070103	Purchasing food (not groceries)	Consumer Purchases	Consumer Purchases	1.25	10.37	0.12
t070104	Shopping, except groceries, food and gas	Consumer Purchases	Consumer Purchases	14.47	66.74	0.22
t070105	Waiting associated with shopping	Consumer Purchases	Consumer Purchases	0.09	21.46	0
t070199	Shopping, n.e.c.*	Consumer Purchases	Consumer Purchases	0	15.12	0
t070201	Comparison shopping	Consumer Purchases	Consumer Purchases	0.07	63.19	0
t070299	Researching purchases, n.e.c.*	Consumer Purchases	Consumer Purchases	0	32.83	0
t070301	Security procedures rel. to consumer purchases	Consumer Purchases	Consumer Purchases	0	19.52	0
t070399	Security procedures rel. to consumer purchases, n.e.c.*	Consumer Purchases	Consumer Purchases	0	45	0
t079999	Consumer purchases, n.e.c.*	Consumer Purchases	Consumer Purchases	0	62.46	0
t080101	Using paid childcare services	Professional & Personal Care Services	Professional & Personal Care Services	0.03	19.35	0
t080102	Waiting associated w/purchasing childcare svcs	Professional & Personal Care Services	Professional & Personal Care Services	0	24.83	0
t080199	Using paid childcare services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	8.87	0
t080201	Banking	Professional & Personal Care Services	Professional & Personal Care Services	0.34	13.3	0.03
t080202	Using other financial services	Professional & Personal Care Services	Professional & Personal Care Services	0.1	52.24	0
t080203	Waiting associated w/banking/financial services	Professional & Personal Care Services	Professional & Personal Care Services	0.01	30.24	0
t080299	Using financial services and banking, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	28.36	0
t080301	Using legal services	Professional & Personal Care Services	Professional & Personal Care Services	0.04	62.15	0
t080302	Waiting associated with legal services	Professional & Personal Care Services	Professional & Personal Care Services	0	19.72	0
t080399	Using legal services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	17.3	0
t080401	Using health and care services outside the home	Professional & Personal Care Services	Professional & Personal Care Services	2.57	76.31	0.03
t080402	Using in-home health and care services	Professional & Personal Care Services	Professional & Personal Care Services	0.05	62.8	0
t080403	Waiting associated with medical services	Professional & Personal Care Services	Professional & Personal Care Services	0.44	39.39	0.01
t080499	Using medical services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0.02	103.43	0
t080501	Using personal care services	Professional & Personal Care Services	Professional & Personal Care Services	1.01	67.08	0.02
t080502	Waiting associated w/personal care services	Professional & Personal Care Services	Professional & Personal Care Services	0.05	29.01	0
t080599	Using personal care services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	34.36	0
t080601	Activities rel. to purchasing/selling real estate	Professional & Personal Care Services	Professional & Personal Care Services	0.24	78.32	0
t080602	Waiting associated w/purchasing/selling real estate	Professional & Personal Care Services	Professional & Personal Care Services	0.01	139.88	0
t080699	Using real estate services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	27.16	0
t080701	Using veterinary services	Professional & Personal Care Services	Professional & Personal Care Services	0.08	40.73	0
t080702	Waiting associated with veterinary services	Professional & Personal Care Services	Professional & Personal Care Services	0.02	47.32	0
t080799	Using veterinary services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	79.26	0
t080801	Security procedures rel. to professional/personal svcs.	Professional & Personal Care Services	Professional & Personal Care Services	0	5	0
t080899	Security procedures rel. to professional/personal svcs n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0	0	0
t089999	Professional and personal services, n.e.c.*	Professional & Personal Care Services	Professional & Personal Care Services	0.06	58.03	0
t090101	Using interior cleaning services	Household Services	Household Services	0.01	45.96	0
t090102	Using meal preparation services	Household Services	Household Services	0	47.83	0
t090103	Using clothing repair and cleaning services	Household Services	Household Services	0.03	8.16	0
t090104	Waiting associated with using household services	Household Services	Household Services	0.01	111.23	0
t090199	Using household services, n.e.c.*	Household Services	Household Services	0.01	48.05	0
t090201	Using home maint/repair/décor/construction svcs	Household Services	Household Services	0.21	60.8	0
t090202	Waiting associated w/ home main/repair/décor/constr	Household Services	Household Services	0.14	105.75	0
t090299	Using home maint/repair/décor/constr services, n.e.c.*	Household Services	Household Services	0	31.37	0
t090301	Using pet services	Household Services	Household Services	0.02	24.65	0
t090302	Waiting associated with pet services	Household Services	Household Services	0	53.35	0
t090399	Using pet services, n.e.c.*	Household Services	Household Services	0	17.28	0
t090401	Using lawn and garden services	Household Services	Household Services	0.02	40.33	0
t090402	Waiting associated with using lawn & garden services	Household Services	Household Services	0.01	156.45	0
t090499	Using lawn and garden services, n.e.c.*	Household Services	Household Services	0	15.95	0
t090501	Using vehicle maintenance or repair services	Household Services	Household Services	0.23	33.94	0.01
t090502	Waiting associated with vehicle main. or repair svcs	Household Services	Household Services	0.18	54.91	0
t090599	Using vehicle maint. & repair svcs, n.e.c.*	Household Services	Household Services	0.01	25.77	0
t099999	Using household services, n.e.c.*	Household Services	Household Services	0.02	49.07	0
t100101	Using police and fire services	Government Services & Civic Obligations	Other	0.02	40.83	0
t100102	Using social services	Government Services & Civic Obligations	Other	0.08	72.02	0
t100103	Obtaining licenses & paying fines, fees, taxes	Government Services & Civic Obligations	Other	0.09	39.61	0
t100199	Using government services, n.e.c.*	Government Services & Civic Obligations	Other	0.02	57.07	0
t100201	Civic obligations & participation	Government Services & Civic Obligations	Other	0.15	76.11	0
t100299	Civic obligations & participation, n.e.c.*	Government Services & Civic Obligations	Other	0.01	73.05	0
t100381	NA	Government Services & Civic Obligations	Other	0.04	53.48	0
t100383	NA	Government Services & Civic Obligations	Other	0.02	90.37	0
t100399	Waiting assoc. w/govt svcs or civic obligations, n.e.c.*	Government Services & Civic Obligations	Other	0.01	62.07	0
t100401	Security procedures rel. to govt svcs/civic obligations	Government Services & Civic Obligations	Other	0	6.59	0
t100499	Security procedures rel. to govt svcs/civic obligations, n.e.c.*	Government Services & Civic Obligations	Other	0	15	0
t109999	Government services, n.e.c.*	Government Services & Civic Obligations	Other	0	52.29	0
t110101	Eating and drinking	Eating and Drinking	Eating and Drinking	65.8	68.84	0.96
t110199	Eating and drinking, n.e.c.*	Eating and Drinking	Eating and Drinking	0	0	0
t110281	NA	Eating and Drinking	Eating and Drinking	0.2	22.66	0.01
t110289	NA	Eating and Drinking	Eating and Drinking	0	26.21	0
t119999	Eating and drinking, n.e.c.*	Eating and Drinking	Eating and Drinking	0	5.75	0
t120101	Socializing and communicating with others	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	37.77	104.04	0.36
t120199	Socializing and communicating, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0	31.37	0
t120201	Attending or hosting parties/receptions/ceremonies	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	4.07	197.74	0.02
t120202	Attending meetings for personal interest (not volunteering)	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.68	116.34	0.01
t120299	Attending/hosting social events, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.03	135.61	0
t120301	Relaxing, thinking	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	18.06	89.46	0.2
t120302	Tobacco and drug use	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.42	24.19	0.02
t120303	Television and movies (not religious)	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	163.58	205.72	0.8
t120304	Television (religious)	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.19	121.73	0
t120305	Listening to the radio	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	1.33	80.32	0.02
t120306	Listening to/playing music (not radio)	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	2.08	86.7	0.02
t120307	Playing games	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	12.94	132.57	0.1
t120308	Computer use for leisure (exc. Games)	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	10.6	92.62	0.11
t120309	Arts and crafts as a hobby	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	1.64	139.61	0.01
t120310	Collecting as a hobby	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.04	160.01	0
t120311	Hobbies, except arts & crafts and collecting	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.28	147.33	0
t120312	Reading for personal interest	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	19.58	87.4	0.22
t120313	Writing for personal interest	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.29	112.06	0
t120399	Relaxing and leisure, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.18	82.62	0
